latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,ds,velocidad
-3.489458,-79.164658,2457.5,32.291682440428524,1967.8898738983441,0.0,12:10:38,703886.351503632,9614106.454161055,58.25,3092.41,13.45,2,16.145841220214262
-3.489453,-79.16436,2457.5,33.13052972252642,2001.0204036208706,0.0,12:10:40,703919.468432718,9614106.94252262,59.49,3092.42,13.65,2,16.56526486126321
-3.489478,-79.164055,2457.5,34.01638639295336,2035.036790013824,0.0,12:10:42,703953.3567841102,9614104.111629577,59.76,3092.43,13.9,2,17.00819319647668
-3.489544,-79.163765,2457.5,33.053138110593046,2068.089928124417,0.0,12:10:44,703985.5693857925,9614096.749750126,58.84,3092.44,13.95,2,16.526569055296523
-3.489648,-79.163506,2457.5,31.00492349061136,2099.0948516150283,0.0,12:10:46,704014.3288472486,9614085.192126714,57.76,3092.45,13.3,2,15.50246174530568
-3.489779,-79.163246,2457.5,32.33176539812533,2131.4266170131536,0.0,12:10:48,704043.1936042589,9614070.648319744,56.47,3092.46,13.3,2,16.165882699062664
-3.489939,-79.163017,2457.5,31.005263488665335,2162.431880501819,0.0,12:10:50,704068.6071561966,9614052.904088663,54.76,3092.46,12.8,2,15.502631744332668
-3.490122,-79.162819,2486.6,29.905230096228475,2192.3371105980473,0.9730739374471451,12:10:52,704090.5707959788,9614032.622981444,54.76,3092.47,12.15,2,14.952615048114238
-3.490325,-79.162659,2488.9,28.64815860492719,2220.9852692029745,0.08028439215652085,12:10:54,704108.3072808124,9614010.138292564,54.76,3092.48,10.95,2,14.324079302463595
-3.490633,-79.162453,2488.9,41.049968932176775,2262.0352381351513,0.0,12:10:57,704131.1329176548,9613976.031557852,47.82,3092.48,10.95,3,13.683322977392258
-3.490843,-79.162331,2488.9,26.90177591341056,2288.9370140485617,0.0,12:10:59,704144.6450434035,9613952.780964967,49.1,3092.49,16.0,2,13.45088795670528
-3.491058,-79.162201,2488.9,27.83181453245653,2316.768828581018,0.0,12:11:01,704159.0450966826,9613928.97567502,50.65,3092.5,16.85,2,13.915907266228265
-3.491281,-79.162064,2488.9,28.992572687986822,2345.761401269005,0.0,12:11:03,704174.2213013687,9613904.284131307,52.74,3092.51,16.6,2,14.496286343993411
-3.494073,-79.162376,2512.9,310.72121200221665,2656.482613271222,0.07723965752241205,12:11:23,704138.9461804539,9613595.581810117,61.86,3092.6,15.25,20,15.536060600110833
-3.494367,-79.162491,2515.0,34.9451672711329,2691.427780542355,0.06009414645826156,12:11:25,704126.1030467309,9613563.093045468,61.86,3092.61,15.35,2,17.47258363556645
-3.494813,-79.162636,2515.0,51.89897755301071,2743.3267580953657,0.0,12:11:28,704109.8932500783,9613513.80097223,61.97,3092.62,15.7,3,17.299659184336903
-3.495113,-79.162704,2515.0,34.03704195195721,2777.363800047323,0.0,12:11:30,704102.2717698152,9613480.638453892,60.73,3092.62,15.15,2,17.018520975978603
-3.495415,-79.162758,2515.0,33.94335495263859,2811.3071549999613,0.0,12:11:32,704096.2056264293,9613447.25171277,60.19,3092.63,14.55,2,16.971677476319297
-3.495713,-79.162811,2515.0,33.48832367057016,2844.7954786705313,0.0,12:11:34,704090.2514729953,9613414.307119697,59.13,3092.64,14.55,2,16.74416183528508
-3.496004,-79.162842,2515.0,32.375891650609894,2877.1713703211412,0.0,12:11:36,704086.7436117458,9613382.131883074,57.5,3092.65,13.6,2,16.187945825304947
