secuencia,fecha,hora,latitud,l,longitud,altitud
11989,05/06/2012,06:45:27,19.464247,99.146253,-99.146253,2251.652344
11990,05/06/2012,06:45:28,19.464225,99.146322,-99.146322,2251.744141
11991,05/06/2012,06:45:29,19.464208,99.146394,-99.146394,2250.780029
11992,05/06/2012,06:45:30,19.464183,99.146466,-99.146466,2250.574219
11993,05/06/2012,06:45:31,19.464158,99.146547,-99.146547,2250.352295
11994,05/06/2012,06:45:32,19.464134,99.14663,-99.14663,2250.104736
11995,05/06/2012,06:45:33,19.464111,99.146709,-99.146709,2249.628418
11996,05/06/2012,06:45:34,19.464091,99.146787,-99.146787,2248.771973
11997,05/06/2012,06:45:35,19.464074,99.146857,-99.146857,2247.772461
11998,05/06/2012,06:45:36,19.464057,99.146919,-99.146919,2247.523926
11999,05/06/2012,06:45:37,19.464037,99.146979,-99.146979,2247.136475
12000,05/06/2012,06:45:38,19.464019,99.147033,-99.147033,2247.059326
12001,05/06/2012,06:45:39,19.464006,99.147085,-99.147085,2246.327637
12002,05/06/2012,06:45:40,19.46399,99.147135,-99.147135,2245.257813
12003,05/06/2012,06:45:41,19.463968,99.147181,-99.147181,2245.334473
12004,05/06/2012,06:45:42,19.463943,99.147224,-99.147224,2245.884766
12005,05/06/2012,06:45:43,19.46392,99.14727,-99.14727,2245.29834
12006,05/06/2012,06:45:44,19.463898,99.147322,-99.147322,2244.86377
12007,05/06/2012,06:45:45,19.463876,99.147378,-99.147378,2244.242676
12008,05/06/2012,06:45:46,19.463856,99.147429,-99.147429,2243.838623
12009,05/06/2012,06:45:47,19.463835,99.147482,-99.147482,2243.160156
12010,05/06/2012,06:45:48,19.463815,99.147533,-99.147533,2243.071533
12011,05/06/2012,06:45:49,19.463795,99.147592,-99.147592,2242.737061
12012,05/06/2012,06:45:50,19.46377,99.147657,-99.147657,2242.783447
12013,05/06/2012,06:45:51,19.463749,99.147721,-99.147721,2242.321045
12014,05/06/2012,06:45:52,19.463727,99.147785,-99.147785,2242.046631
12015,05/06/2012,06:45:53,19.463707,99.147849,-99.147849,2241.628906
12016,05/06/2012,06:45:54,19.463684,99.147913,-99.147913,2241.456787
12017,05/06/2012,06:45:55,19.463663,99.147976,-99.147976,2240.938232
12018,05/06/2012,06:45:56,19.463644,99.148038,-99.148038,2240.805664
12019,05/06/2012,06:45:57,19.463628,99.1481,-99.1481,2240.648438
12020,05/06/2012,06:45:58,19.463609,99.148152,-99.148152,2241.004639
12021,05/06/2012,06:45:59,19.463591,99.148202,-99.148202,2241.343018
12022,05/06/2012,06:46:00,19.463577,99.148241,-99.148241,2241.495361
12023,05/06/2012,06:46:01,19.463571,99.148269,-99.148269,2242.003662
12024,05/06/2012,06:46:02,19.463562,99.148295,-99.148295,2242.702148
12025,05/06/2012,06:46:03,19.463554,99.148315,-99.148315,2243.681885
12026,05/06/2012,06:46:04,19.463547,99.148332,-99.148332,2244.724365
12027,05/06/2012,06:46:05,19.463541,99.148351,-99.148351,2245.355957
12028,05/06/2012,06:46:06,19.463534,99.148377,-99.148377,2246.145752
12029,05/06/2012,06:46:07,19.463524,99.148413,-99.148413,2246.981934
12030,05/06/2012,06:46:08,19.463514,99.148454,-99.148454,2247.213135
12031,05/06/2012,06:46:09,19.463503,99.148499,-99.148499,2247.123291
12032,05/06/2012,06:46:10,19.463493,99.148548,-99.148548,2246.733154
12033,05/06/2012,06:46:11,19.463479,99.148595,-99.148595,2246.942871
12034,05/06/2012,06:46:12,19.463466,99.148645,-99.148645,2247.417969
12035,05/06/2012,06:46:13,19.463453,99.148702,-99.148702,2247.104736
12036,05/06/2012,06:46:14,19.463438,99.148756,-99.148756,2246.658691
12037,05/06/2012,06:46:15,19.46342,99.14881,-99.14881,2246.464844
12038,05/06/2012,06:46:16,19.463408,99.148869,-99.148869,2245.659668
12039,05/06/2012,06:46:17,19.463392,99.148918,-99.148918,2245.582764
12040,05/06/2012,06:46:18,19.46338,99.148963,-99.148963,2245.385498
12041,05/06/2012,06:46:19,19.46337,99.148998,-99.148998,2244.714111
12042,05/06/2012,06:46:20,19.463364,99.14902,-99.14902,2244.417236
12043,05/06/2012,06:46:21,19.463361,99.149039,-99.149039,2244.200928
12044,05/06/2012,06:46:22,19.46336,99.149052,-99.149052,2243.944824
12045,05/06/2012,06:46:23,19.463358,99.149063,-99.149063,2243.779541
12046,05/06/2012,06:46:24,19.463354,99.149076,-99.149076,2244.749756
12047,05/06/2012,06:46:25,19.463349,99.14909,-99.14909,2245.166016
12048,05/06/2012,06:46:26,19.463344,99.149107,-99.149107,2245.32373
12049,05/06/2012,06:46:27,19.463341,99.149126,-99.149126,2245.29248
12050,05/06/2012,06:46:28,19.463336,99.149141,-99.149141,2245.263184
12051,05/06/2012,06:46:29,19.463331,99.149156,-99.149156,2245.320801
12052,05/06/2012,06:46:30,19.463326,99.149176,-99.149176,2244.826172
12053,05/06/2012,06:46:31,19.463322,99.149196,-99.149196,2243.903076
12054,05/06/2012,06:46:32,19.463316,99.14922,-99.14922,2244.041504
12055,05/06/2012,06:46:33,19.463309,99.149247,-99.149247,2244.617676
